#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
       1      21.4732       0.0000     330.8972       1.7097       1.4017       1.4313       1.5536       1.3755     145.6393
       2      21.4191       0.7265      66.3047       1.6900       1.3780       1.4116       1.5181       1.3639     152.0677
       3      21.4207       0.7633      27.6175       1.7743       1.5056       1.5444       1.6285       1.4965     161.2295
       4      21.5715       0.8172      38.6584       1.8000       1.3429       1.3687       1.4990       1.3266     146.5575
       5      21.4218       0.8304      45.3229       1.7466       1.3305       1.3484       1.4692       1.3184     139.8167
       6      21.5239       0.8475      90.8248       1.7629       1.3742       1.3902       1.5276       1.3359     153.4840
       7      21.5440       0.9192      76.8402       1.7542       1.5742       1.5971       1.7062       1.5471     165.4733
       8      21.5950       0.8835      59.9957       1.7937       1.5607       1.5837       1.6961       1.5298     167.7280
       9      21.6086       0.9326      46.2559       1.8176       1.4637       1.4837       1.6063       1.4402     158.7702
      10      21.5518       0.9908      54.3628       1.7017       1.4142       1.4458       1.5674       1.3995     159.7697
      11      21.5532       0.9375      75.6909       1.7613       1.4766       1.5176       1.5989       1.4679     166.4939
      12      21.5007       0.9116      80.4594       1.7805       1.4942       1.5223       1.6396       1.4808     158.3400
      13      21.4785       0.9810      36.3367       1.6708       1.4873       1.5261       1.6178       1.4690     158.4325
      14      21.5556       0.9821     153.8633       1.7697       1.5581       1.5892       1.6927       1.5424     165.4959
      15      21.4952       0.9514     125.9566       1.7159       1.4348       1.4703       1.5647       1.4192     151.4967
      16      21.4976       0.9859      61.9157       1.6989       1.5639       1.6029       1.6830       1.5636     150.8610
      17      21.5923       0.9729     154.2194       1.7813       1.6486       1.6807       1.7544       1.6474     167.0974
      18      21.6233       1.1049     135.4377       1.6739       1.7134       1.7448       1.8122       1.7073     172.4743
      19      21.6855       1.0914     236.3651       1.7775       1.6754       1.7118       1.7928       1.6667     162.8952
      20      21.6673       1.0833     174.5948       1.7473       1.7055       1.7342       1.8136       1.6879     165.8555
      21      21.5574       1.1773      64.3711       1.8336       1.7673       1.8014       1.8880       1.7486     158.1498
      22      21.5565       1.1082     119.0911       1.6978       1.8077       1.8384       1.9261       1.7899     154.4580
      23      21.6426       1.2044     169.9028       1.8021       1.9302       1.9523       2.0485       1.9065     165.5600
      24      21.7081       1.2345      88.0238       1.8292       1.9018       1.9312       2.0020       1.8860     164.2017
      25      21.6463       1.1758      24.7615       1.7839       1.8287       1.8601       1.9424       1.8199     157.3741
      26      21.6336       1.1740      36.8019       1.9132       1.7691       1.8037       1.9065       1.7610     161.4723
      27      21.5437       1.1992     114.9150       1.8120       1.7575       1.7926       1.8688       1.7444     156.4931
      28      21.6594       1.1960      81.9926       1.7311       1.8154       1.8467       1.9180       1.8153     163.2499
      29      21.5414       1.1599      24.0346       1.7654       1.7353       1.7720       1.8576       1.7250     149.7517
      30      21.5833       1.2014      44.3815       1.6613       1.7766       1.8054       1.8986       1.7576     161.0536
      31      21.5700       1.2580     185.6159       1.6296       1.8193       1.8555       1.9403       1.8116     151.5736
      32      21.5683       1.2830      69.7875       1.7481       1.8927       1.9182       2.0227       1.8716     157.0382
      33      21.5505       1.1684      13.2770       1.7311       1.7261       1.7521       1.8692       1.7057     152.3299
      34      21.5448       1.1562      39.4925       1.7050       1.6596       1.6930       1.7907       1.6408     144.1109
      35      21.5365       1.1503      23.1869       1.7723       1.5509       1.5778       1.6911       1.5303     153.0221
      36      21.5020       1.1027      26.4097       1.7268       1.6258       1.6558       1.7437       1.6094     142.9755
      37      21.5595       1.0660      14.8678       1.8275       1.6741       1.7026       1.8024       1.6507     159.0201
      38      21.5466       1.0630      98.2641       1.7476       1.7610       1.7883       1.8871       1.7440     167.3886
      39      21.5908       1.1846      56.3961       1.7253       1.8408       1.8667       1.9606       1.8257     162.3734
      40      21.5987       1.1748      17.5646       1.7406       1.6757       1.6940       1.8095       1.6551     148.9717
      41      21.5535       1.1752      21.3390       1.8072       1.7422       1.7693       1.8662       1.7284     164.8863
      42      21.4933       1.1445      50.9384       1.7046       1.6736       1.6963       1.8159       1.6487     154.4615
      43      21.5240       1.1447      56.5376       1.9026       1.6838       1.7122       1.8153       1.6654     168.7513
      44      21.5462       1.1238      27.1461       1.7564       1.7297       1.7616       1.8499       1.7156     156.2969
      45      21.5368       1.1669      39.6696       1.7528       1.7093       1.7320       1.8440       1.6825     149.9303
      46      21.5211       1.0751      40.9585       1.8009       1.6984       1.7226       1.8210       1.6795     158.5446
      47      21.5423       1.1355      71.9791       2.0615       1.6831       1.7106       1.8012       1.6592     158.4833
      48      21.6019       1.1635     178.7252       2.0256       1.7514       1.7830       1.8683       1.7370     162.0298
      49      21.5687       1.2095     104.1323       1.8028       1.8177       1.8460       1.9503       1.7956     159.1574
      50      21.6966       1.2149      91.0076       2.0303       1.8496       1.8830       1.9643       1.8484     161.9247
      51      21.6344       1.1923     117.1674       1.7794       1.9034       1.9288       2.0219       1.8871     167.3512
      52      21.6522       1.2134      81.3451       1.8099       1.9044       1.9364       2.0233       1.8879     170.3398
      53      21.5802       1.2398      58.6449       1.8806       1.9022       1.9381       2.0141       1.8917     172.3285
      54      21.6702       1.2863      59.2268       1.8020       1.9932       2.0194       2.1144       1.9794     168.8175
      55      21.5899       1.2372     158.6388       1.7280       1.8511       1.8831       1.9683       1.8369     153.2351
      56      21.6878       1.4892      57.5853       1.7778       2.2344       2.2560       2.3404       2.2178     162.0888
      57      21.6685       1.4043      24.0593       1.8573       2.1380       2.1688       2.2430       2.1248     145.9897
      58      21.6217       1.3875      31.3145       1.8833       2.0725       2.1003       2.1756       2.0579     172.6123
      59      21.6340       1.3977      41.8773       1.7674       2.0847       2.1119       2.1877       2.0697     169.9257
      60      21.6469       1.3888      40.1422       1.8118       1.9580       1.9878       2.0629       1.9465     166.3459
      61      21.5998       1.3616      23.4237       1.7818       1.9647       1.9942       2.0921       1.9456     165.8285
      62      21.6905       1.3570      50.2978       1.7813       2.0843       2.1098       2.2033       2.0651     167.8557
      63      21.6068       1.4820     145.1941       1.8617       2.2051       2.2377       2.3158       2.1956     166.9611
      64      21.6249       1.4889      64.1506       1.7933       2.2162       2.2406       2.3405       2.1883     173.0233
      65      21.6946       1.4603      48.5588       1.8035       2.2069       2.2259       2.3186       2.1817     150.8906
      66      21.7713       1.6612      57.5447       1.7461       2.3830       2.3977       2.4936       2.3612     172.7239
      67      21.7920       1.6869      78.6401       1.8863       2.3825       2.3971       2.4904       2.3515     163.9599
      68      21.6969       1.6688      93.0792       1.8057       2.3726       2.4007       2.4591       2.3587     165.5107
      69      21.6398       1.4790      73.6748       1.9442       2.1341       2.1535       2.2655       2.0988     159.2064
      70      21.6819       1.5464     111.1356       1.8509       2.2384       2.2559       2.3714       2.1974     153.6886
      71      21.5748       1.4118     107.1520       1.8114       2.0068       2.0253       2.1363       1.9734     158.2432
      72      21.5493       1.3092      92.4854       1.8543       1.9007       1.9165       2.0408       1.8664     169.8761
      73      21.5677       1.2690     118.4711       1.9007       1.8575       1.8781       1.9975       1.8280     159.2513
      74      21.6267       1.3244      39.6836       1.8451       1.9739       1.9990       2.0983       1.9533     165.8600
      75      21.5966       1.3907     134.0598       1.9315       2.0590       2.0828       2.1857       2.0387     159.7389
      76      21.5834       1.4504      15.3473       1.8930       2.1383       2.1575       2.2731       2.1071     165.6070
      77      21.5955       1.3874      44.9750       1.8469       2.1152       2.1408       2.2380       2.0910     164.8358
      78      21.6893       1.3830      29.5763       1.9397       2.1154       2.1347       2.2456       2.0930     158.7739
      79      21.5797       1.4259      28.4984       1.8539       2.1166       2.1310       2.2520       2.0928     164.5044
      80      21.5812       1.5265      23.1818       1.7722       2.1832       2.2050       2.3153       2.1579     153.1015
      81      21.6250       1.5175      41.0039       2.0525       2.2200       2.2446       2.3451       2.1900     171.0363
      82      21.5497       1.4145      26.8014       1.8308       2.0696       2.0975       2.1852       2.0426     163.2121
      83      21.6215       1.4545      25.7115       1.8831       2.1679       2.1919       2.3016       2.1354     169.0236
      84      21.5788       1.4167      29.1009       1.8449       2.1119       2.1315       2.2437       2.0731     154.7801
      85      21.6375       1.4757      37.1670       1.9083       2.1871       2.2062       2.3031       2.1595     170.0731
      86      21.6763       1.4718      23.3781       1.8288       2.2098       2.2295       2.3399       2.1798     158.4737
      87      21.6057       1.5167      54.6645       1.9493       2.2902       2.3111       2.4019       2.2650     160.5947
      88      21.6959       1.6027      42.0337       1.7918       2.3628       2.3898       2.4830       2.3318     163.7582
      89      21.6293       1.5022      92.0801       1.8906       2.1984       2.2214       2.3383       2.1643     163.0002
      90      21.6677       1.7155     107.2172       1.9101       2.3915       2.4254       2.4920       2.3823     163.8913
      91      21.6142       1.5492      38.9244       1.9542       2.1952       2.2252       2.3038       2.1777     158.1065
      92      21.6100       1.5583      34.0937       1.8811       2.1678       2.1945       2.2883       2.1511     152.8932
      93      21.6730       1.5516      32.6890       1.8007       2.1048       2.1342       2.2184       2.0883     161.8085
      94      21.6048       1.5196      22.3898       1.7685       2.0341       2.0713       2.1415       2.0242     153.2945
      95      21.7218       1.5754      15.4277       1.7463       2.1450       2.1735       2.2599       2.1229     155.6339
      96      21.6581       1.3727      17.0792       1.7415       1.8993       1.9251       2.0213       1.8782     146.7319
      97      21.6805       1.3439      22.9973       1.8147       1.9447       1.9663       2.0752       1.9126     166.0538
