#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
       1      21.8467       0.0000     427.3745       1.4982       2.8842       2.9112       2.9595       2.8765     176.3108
       2      21.7203       0.7816      64.7979       1.5063       2.8078       2.8428       2.8885       2.8001     188.9995
       3      21.8266       0.8451      31.2692       1.5188       2.8875       2.9249       2.9542       2.8909     190.0042
       4      21.7929       0.8948      37.5942       1.5092       2.9016       2.9419       2.9587       2.9097     176.7560
       5      21.7431       1.0372      58.3234       1.4877       2.5763       2.6216       2.6319       2.5920     173.5379
       6      21.7273       0.9906     104.5999       1.3911       2.6927       2.7328       2.7634       2.6975     170.2448
       7      21.7340       0.9850      88.2284       1.6147       2.8163       2.8538       2.8724       2.8320     187.7508
       8      21.7713       0.9219      69.4412       1.4549       2.8341       2.8750       2.8903       2.8459     175.9418
       9      21.7447       0.9340      61.8036       1.7148       2.7014       2.7345       2.7602       2.7083     180.3879
      10      21.6835       1.0179      76.6892       1.6863       2.6611       2.6850       2.7460       2.6545     177.0193
      11      21.6429       1.1202     112.0836       1.5166       2.5688       2.6046       2.6451       2.5749     177.4040
      12      21.6703       1.0682     105.9892       1.2847       2.6515       2.6854       2.7234       2.6605     177.5470
      13      21.6096       1.1262      47.5879       1.4468       2.4499       2.4749       2.5203       2.4515     174.8868
      14      21.7346       1.1561     189.9413       1.4846       2.4526       2.4846       2.5039       2.4606     184.5932
      15      21.6535       1.1316     184.2684       1.5917       2.4779       2.5108       2.5619       2.4718     177.1389
      16      21.7105       1.1453      81.7938       1.4656       2.4390       2.4740       2.5133       2.4364     169.7008
      17      21.7195       1.1121     207.4360       1.5385       2.5554       2.5773       2.6357       2.5400     160.7658
      18      21.6904       1.1897     157.2439       1.7311       2.6138       2.6530       2.6872       2.6125     167.9867
      19      21.6005       1.2757     284.5835       1.7051       2.3745       2.3961       2.4675       2.3573     169.6695
      20      21.6091       1.3115     232.3715       1.6338       2.2999       2.3338       2.3763       2.2916     190.6374
      21      21.6683       1.0958      55.7968       1.3675       2.4694       2.5076       2.5348       2.4789     176.7202
      22      21.6504       1.1471      76.5946       1.5698       2.4614       2.4915       2.5382       2.4550     171.2372
      23      21.6548       1.2105      61.9131       1.4739       2.2473       2.2832       2.3213       2.2461     152.7583
      24      21.6343       1.2378      77.4162       1.3839       2.4318       2.4669       2.5011       2.4285     188.0796
      25      21.6420       1.2201      25.0248       1.4258       2.4823       2.5115       2.5513       2.4723     182.2205
      26      21.6203       1.2167      29.9100       1.5816       2.2567       2.3002       2.3211       2.2567     183.1332
      27      21.6626       1.2869     107.4600       1.5986       2.3333       2.3798       2.3929       2.3400     171.4499
      28      21.6094       1.2408      69.9637       1.3710       2.4012       2.4452       2.4668       2.4039     167.5073
      29      21.6670       1.2195      18.0350       1.5103       2.4584       2.5017       2.5187       2.4653     180.9883
      30      21.7266       1.2067      37.5588       1.5522       2.4611       2.5054       2.5118       2.4699     172.0039
      31      21.6810       1.2678     169.5965       1.5373       2.4616       2.5004       2.5215       2.4608     186.4223
      32      21.6118       1.2763      73.8562       1.4772       2.5580       2.6057       2.6087       2.5753     164.2748
      33      21.6224       1.2625      11.8573       1.7182       2.4406       2.4882       2.5160       2.4424     181.5191
      34      21.6971       1.2230      36.0931       1.5937       2.5922       2.6332       2.6636       2.5993     180.6573
      35      21.7081       1.2802      21.2373       1.7281       2.5198       2.5634       2.5799       2.5235     178.7065
      36      21.6333       1.3005      22.5818       1.5124       2.5306       2.5746       2.5878       2.5456     180.0517
      37      21.7101       1.2438      14.1659       1.5338       2.5034       2.5481       2.5624       2.5091     179.0763
      38      21.6735       1.1988      96.3529       1.2484       2.6906       2.7333       2.7548       2.6996     189.7308
      39      21.7272       1.1327      54.8758       1.2981       2.6908       2.7317       2.7505       2.6928     181.8514
      40      21.6791       1.1693      17.7183       1.3543       2.9327       2.9769       2.9830       2.9467     175.1009
      41      21.7043       1.0869      17.7371       1.5573       2.9629       3.0040       3.0225       2.9655     180.2773
      42      21.6627       1.1719      50.8672       1.5431       2.9951       3.0394       3.0524       3.0045     194.1976
      43      21.7325       1.1864      64.0516       1.4521       2.9219       2.9590       2.9922       2.9166     183.4773
      44      21.6561       1.2014      22.5453       1.5151       2.7874       2.8356       2.8473       2.7924     175.2304
      45      21.7626       1.2646      34.8349       1.5836       2.7863       2.8318       2.8360       2.7920     182.9813
      46      21.7046       1.2463      34.8344       1.6169       2.7913       2.8348       2.8588       2.7970     191.5691
      47      21.7679       1.2329      67.3240       1.3761       2.8898       2.9440       2.9490       2.9018     180.0539
      48      21.7218       1.2632     158.4529       1.5074       2.9624       3.0028       3.0250       2.9664     182.1284
      49      21.8343       1.2677      88.8891       1.5031       3.1622       3.2184       3.2195       3.1803     189.8501
      50      21.7604       1.2824      73.6823       1.5355       3.1458       3.1971       3.1954       3.1640     186.0990
      51      21.7540       1.2557      91.8442       1.4843       2.9660       3.0023       3.0410       2.9593     187.8025
      52      21.8688       1.2640      62.2618       1.6258       2.9273       2.9755       2.9895       2.9399     187.9495
      53      21.7991       1.2493      51.6942       1.5013       2.8432       2.8960       2.8906       2.8675     192.8512
      54      21.7856       1.2199      66.3467       1.5169       2.8504       2.8936       2.9174       2.8560     190.2553
      55      21.7904       1.2864     136.0776       1.5914       2.9186       2.9717       2.9880       2.9359     199.2167
      56      21.8507       1.2891      77.6785       1.3353       3.0671       3.1121       3.1308       3.0811     184.5551
      57      21.8338       1.3266      33.6727       1.4204       3.0491       3.1030       3.1108       3.0720     199.9733
      58      21.7631       1.3037      41.5378       1.5338       2.9800       3.0297       3.0499       2.9922     183.0900
      59      21.8081       1.2541      54.5290       1.5125       3.0079       3.0651       3.0631       3.0285     207.0860
      60      21.8629       1.2972      46.6765       1.4684       2.9963       3.0390       3.0744       2.9992     184.4885
      61      21.7777       1.2787      28.1310       1.3840       2.7234       2.7668       2.7980       2.7276     190.9906
      62      21.7806       1.3432      62.7675       1.6146       2.7989       2.8440       2.8580       2.8040     188.0966
      63      21.6964       1.4313     148.2455       1.5516       2.8769       2.9292       2.9440       2.8909     186.1678
      64      21.6807       1.4109      61.8962       1.3013       2.8950       2.9453       2.9412       2.9236     180.6909
      65      21.6785       1.4210      46.4211       1.2889       2.8437       2.8957       2.9081       2.8591     174.4838
      66      21.7338       1.3426      55.2986       1.3924       2.8599       2.9020       2.9306       2.8654     184.4230
      67      21.7438       1.3220      74.7003       1.5369       2.8250       2.8725       2.8840       2.8419     186.5106
      68      21.7049       1.3192      83.1989       1.6749       2.9040       2.9541       2.9668       2.9108     191.3553
      69      21.7050       1.3197      63.1164       1.3536       2.8695       2.9109       2.9384       2.8780     194.7020
      70      21.7238       1.3062      97.8304       1.3908       2.7208       2.7667       2.7941       2.7299     190.1951
      71      21.7305       1.2607     106.0658       1.4524       2.6440       2.6920       2.7103       2.6517     185.0899
      72      21.7282       1.3203      84.7301       1.4727       2.6283       2.6738       2.6932       2.6413     193.8529
      73      21.6488       1.2985     125.2445       1.4143       2.5807       2.6243       2.6499       2.5846     185.8260
      74      21.7890       1.2712      41.3381       1.4360       2.7111       2.7598       2.7613       2.7194     181.6337
      75      21.7944       1.3228     107.9528       1.4356       2.6301       2.6679       2.7067       2.6356     186.3013
      76      21.7846       1.3097      27.2251       1.5334       2.6224       2.6651       2.6914       2.6250     186.2063
      77      21.7681       1.2779      58.2872       1.3278       2.7532       2.7966       2.8153       2.7576     189.8147
      78      21.8358       1.2619      34.2581       1.2782       2.6511       2.6988       2.7110       2.6626     187.8116
      79      21.7922       1.2023      39.0033       1.4614       2.8101       2.8480       2.8836       2.8142     193.7596
