#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
       1      21.3856       0.0000     389.8237       0.8544       1.3822       1.4232       1.4979       1.3720     150.7076
       2      21.4449       0.7834      92.2473       0.7845       1.3878       1.4270       1.4961       1.3756     158.6256
       3      21.4474       0.8091      43.9345       0.7401       1.3496       1.3903       1.4723       1.3296     135.0427
       4      21.5095       0.9267      44.4182       0.8412       1.5423       1.5797       1.6493       1.5273     152.8011
       5      21.4713       0.9754      59.9635       0.8604       1.5092       1.5383       1.6391       1.4831     160.3101
       6      21.4642       0.8706     111.7940       0.7652       1.4527       1.4924       1.5759       1.4370     148.1482
       7      21.4502       0.9179      94.7784       0.7907       1.3768       1.4147       1.4916       1.3632     147.0240
       8      21.3712       0.9182      79.2064       0.7121       1.3242       1.3642       1.4530       1.3048     139.9610
       9      21.3832       0.9295      65.9612       0.9565       1.3528       1.3997       1.4724       1.3438     142.1046
      10      21.3530       1.0168      76.5300       0.8901       1.3493       1.3955       1.4660       1.3384     136.5449
      11      21.3078       1.1081     102.7306       0.6911       1.3022       1.3428       1.4391       1.2809     147.3580
      12      21.3610       1.0653      96.2110       0.7735       1.4830       1.5151       1.6225       1.4534     150.2187
      13      21.3175       1.1096      49.4670       0.8213       1.4032       1.4360       1.5434       1.3708     135.6002
      14      21.3646       1.0803     184.9380       0.7343       1.3968       1.4308       1.5176       1.3695     144.5716
      15      21.3846       1.0693     165.7870       0.7498       1.3608       1.3890       1.4949       1.3283     129.1090
      16      21.3477       1.0644      80.8222       0.8573       1.3654       1.4062       1.4778       1.3436     141.8079
      17      21.3907       1.0883     215.0289       0.8117       1.4488       1.4965       1.5655       1.4389     128.9458
      18      21.3635       1.1481     156.9694       0.8537       1.2964       1.3483       1.4145       1.2921     148.8028
      19      21.3719       1.0370     304.5019       0.7797       1.3585       1.3903       1.5063       1.3317     134.3862
      20      21.4063       1.1384     244.9669       0.8442       1.4080       1.4419       1.5411       1.3815     135.2593
      21      21.3536       1.1586      59.3699       0.7027       1.3351       1.3791       1.4729       1.3207     141.9550
      22      21.4488       1.1807      74.1869       0.7754       1.4170       1.4632       1.5256       1.4260     140.7856
      23      21.3960       1.1685      73.5240       0.7845       1.3129       1.3625       1.4155       1.3246     160.4869
      24      21.4355       1.1093      77.9656       0.8555       1.2793       1.3154       1.4110       1.2632     144.1025
      25      21.4760       1.2494      24.1985       0.7969       1.3659       1.4059       1.4895       1.3605     143.5242
      26      21.4634       1.2134      34.1086       0.7987       1.2445       1.2774       1.3784       1.2244     142.9107
      27      21.5325       1.3246     133.4320       0.7020       1.3402       1.3730       1.4729       1.3134     140.7765
      28      21.4108       1.2464      69.6058       0.7998       1.3027       1.3310       1.4426       1.2815     133.3058
      29      21.4928       1.3085      20.7961       0.7833       1.4101       1.4400       1.5249       1.3902     131.2869
      30      21.4772       1.2342      38.9771       0.8242       1.4558       1.4821       1.5949       1.4269     131.9791
      31      21.3534       1.2537     183.5446       0.8257       1.3848       1.4171       1.5218       1.3595     138.5962
      32      21.3149       1.2895      76.9487       0.7876       1.4911       1.5201       1.6093       1.4568     152.7136
      33      21.4699       1.2480      14.3420       0.7928       1.4913       1.5304       1.6030       1.4734     154.5118
      34      21.4471       1.2406      40.7531       0.9297       1.4680       1.4998       1.6158       1.4346     148.8648
      35      21.4158       1.2018      26.5148       0.8976       1.4425       1.4721       1.5743       1.4153     140.6519
      36      21.3773       1.1562      29.4945       0.7798       1.3919       1.4202       1.5134       1.3674     140.2533
      37      21.4427       1.1230      16.2182       0.8640       1.3798       1.4159       1.5200       1.3468     147.1906
      38      21.4016       1.1536      99.5897       0.7801       1.5030       1.5433       1.6138       1.4819     136.6539
      39      21.4324       1.1359      60.6505       0.7743       1.5061       1.5455       1.6165       1.4865     134.5487
      40      21.4017       1.0699      23.7792       0.7788       1.3821       1.4262       1.5032       1.3622     138.0296
      41      21.5007       1.1632      25.0400       0.8497       1.6243       1.6499       1.7550       1.5885     145.6198
      42      21.5802       1.1931      57.8617       0.8687       1.6782       1.7131       1.8100       1.6484     149.3233
      43      21.5175       1.1594      61.3340       0.8359       1.5801       1.6282       1.6819       1.5704     139.5941
      44      21.4731       1.2028      30.0567       0.8455       1.6219       1.6599       1.7201       1.6090     149.9705
      45      21.4447       1.2422      44.1702       0.8288       1.6031       1.6407       1.7113       1.5874     146.3391
      46      21.4818       1.1742      35.9055       0.8413       1.5271       1.5577       1.6548       1.4989     144.4555
      47      21.5010       1.2516      53.3080       0.9650       1.6488       1.6811       1.7698       1.6192     167.0800
      48      21.5318       1.2161     130.1708       0.8193       1.5463       1.5826       1.6732       1.5287     159.1942
      49      21.4664       1.2447      60.8554       0.8758       1.4708       1.5079       1.5848       1.4596     142.6465
      50      21.5174       1.2294      53.2245       0.8737       1.6012       1.6386       1.7243       1.5780     157.7148
      51      21.4219       1.2228      81.2734       0.8246       1.4912       1.5308       1.6035       1.4754     136.5073
      52      21.4660       1.5038      64.7221       0.7468       1.5681       1.6047       1.6873       1.5460     129.3381
      53      21.4521       1.3755      51.2853       0.9007       1.5740       1.6077       1.6884       1.5544     144.1898
      54      21.4661       1.2234      61.7160       0.8125       1.6150       1.6416       1.7334       1.5914     150.6255
      55      21.4266       1.3944     113.5170       0.8421       1.7560       1.7797       1.8731       1.7303     141.6152
      56      21.4942       1.2852      82.5590       0.8068       1.6333       1.6659       1.7505       1.6040     142.9577
      57      21.4776       1.2519      37.1355       0.7737       1.6680       1.7145       1.7552       1.6717     132.8489
      58      21.4679       1.2359      38.2800       0.8603       1.7496       1.7923       1.8546       1.7346     143.0803
      59      21.5835       1.3727      62.6477       0.8649       1.8090       1.8444       1.9457       1.7766     154.2724
      60      21.5400       1.3381      62.3785       0.9319       1.8269       1.8624       1.9433       1.8064     144.3900
      61      21.4682       1.2122      35.8556       0.9455       1.6547       1.6945       1.7735       1.6292     153.7640
      62      21.5163       1.2711      70.9732       0.8951       1.6405       1.6858       1.7518       1.6208     140.4823
      63      21.4655       1.2385     190.3859       0.7302       1.4961       1.5307       1.6342       1.4712     131.7440
      64      21.4035       1.3016      94.5618       0.8001       1.4604       1.4997       1.5860       1.4414     144.1117
      65      21.4288       1.2764      63.3182       0.8430       1.4977       1.5241       1.6382       1.4649     130.9734
      66      21.4795       1.3247      83.7078       0.8653       1.6029       1.6432       1.7185       1.5874     144.1894
      67      21.4114       1.3118     130.6661       0.8514       1.5458       1.5813       1.6563       1.5383     138.8037
      68      21.3883       1.3699     140.7940       0.8327       1.6423       1.6676       1.7682       1.6214     136.2299
      69      21.4657       1.3583      97.5086       0.7794       1.5978       1.6326       1.7012       1.5834     164.0874
      70      21.3839       1.3823     145.9349       0.7782       1.4989       1.5309       1.6300       1.4796     146.3890
      71      21.3042       1.3271     143.7282       0.9007       1.5755       1.6041       1.6983       1.5475     139.4141
      72      21.4092       1.3030     114.6160       0.9932       1.5258       1.5649       1.6216       1.5167     147.9457
      73      21.2969       1.2234     144.3875       0.8652       1.3835       1.4208       1.4965       1.3638     145.6548
      74      21.3715       1.2980      50.9630       0.7610       1.3858       1.4250       1.4964       1.3733     139.6006
      75      21.3627       1.2541     167.3181       0.8154       1.4561       1.5096       1.5601       1.4521     148.3603
      76      21.4028       1.3217      22.8917       0.8840       1.4217       1.4556       1.5410       1.4062     132.7707
      77      21.2772       1.2408      53.7796       0.7133       1.3297       1.3842       1.4410       1.3210     132.8925
      78      21.3047       1.2874      50.4782       0.7571       1.4128       1.4546       1.5162       1.4053     138.3633
      79      21.3917       1.1963      52.8288       0.8807       1.3723       1.4108       1.4831       1.3597     147.9230
      80      21.4078       1.3223      50.7420       0.7710       1.2969       1.3366       1.4222       1.2818     129.9629
      81      21.3392       1.2765      37.3912       0.8724       1.2917       1.3264       1.4295       1.2644     142.5004
      82      21.3942       1.2671      52.7718       0.7770       1.2485       1.2979       1.3782       1.2339     144.1485
      83      21.4451       1.2399      36.0317       0.7154       1.4175       1.4467       1.5664       1.3846     157.9844
      84      21.4505       1.2396      43.6779       0.8793       1.4990       1.5273       1.6341       1.4594     163.5325
      85      21.5254       1.2789      38.6984       0.8451       1.4951       1.5265       1.6443       1.4591     143.4887
      86      21.4722       1.2976      24.5276       0.8306       1.4978       1.5311       1.6401       1.4762     159.0550
      87      21.5383       1.2447      39.2699       0.8459       1.5812       1.6123       1.7138       1.5479     148.4018
      88      21.4760       1.2722      35.0122       0.7963       1.5160       1.5471       1.6682       1.4721     149.3529
      89      21.5003       1.3093      86.7783       0.7792       1.5863       1.6138       1.7215       1.5458     128.2276
      90      21.5497       1.3475      80.5692       0.7763       1.6162       1.6502       1.7481       1.5783     137.2852
      91      21.5014       1.2641      32.1235       0.7749       1.5963       1.6387       1.7116       1.5760     144.9041
      92      21.5001       1.3642      34.5531       0.8290       1.7238       1.7563       1.8258       1.7042     161.6068
      93      21.4798       1.2871      36.9645       0.8010       1.7313       1.7661       1.8609       1.7065     159.5382
      94      21.5423       1.2303      40.6115       0.8583       1.6791       1.7054       1.8247       1.6376     145.3156
      95      21.4680       1.3192      22.0327       0.7881       1.6358       1.6673       1.7762       1.5958     152.3268
      96      21.5546       1.3220      25.9661       0.8489       1.7203       1.7555       1.8635       1.6826     151.0214
      97      21.5421       1.3919      25.1701       0.9107       1.8277       1.8650       1.9509       1.8029     170.0409
      98      21.4710       1.3108      46.3605       0.8208       1.6856       1.7301       1.8374       1.6487     145.9046
      99      21.5171       1.4000      49.6680       0.8979       1.8322       1.8629       1.9543       1.7967     152.8009
     100      21.5620       1.4127      82.1193       0.7558       1.6812       1.7251       1.8099       1.6627     166.3145
     101      21.5764       1.5089      86.8796       0.8795       1.7269       1.7707       1.8627       1.7010     154.6101
     102      21.5297       1.4167     193.2327       0.8746       1.5931       1.6406       1.7144       1.5758     148.7631
     103      21.6034       1.3095     140.0246       0.9331       1.5482       1.5917       1.6823       1.5254     157.9927
     104      21.5778       1.3450      69.3836       1.1336       1.6400       1.6735       1.7772       1.6088     150.0046
     105      21.6311       1.3811      86.5959       0.8692       1.7800       1.8182       1.9020       1.7530     144.1150
     106      21.6541       1.4733     113.1546       0.8211       1.8421       1.8861       1.9495       1.8333     151.6963
     107      21.5998       1.5202      99.8116       0.9053       1.8680       1.9108       2.0041       1.8360     148.9373
