#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
       1      21.4086       0.0000     355.5379       1.2913       2.2905       2.3118       2.4154       2.2495     137.7467
       2      21.4251       0.7977      71.9747       1.2855       2.2374       2.2699       2.3566       2.2094     119.5072
       3      21.4543       0.8683      30.2231       1.2828       2.2427       2.2805       2.3519       2.2251     125.4340
       4      21.3290       0.9109      35.6569       1.3019       2.2231       2.2464       2.3559       2.1852     123.8665
       5      21.3985       0.9314      50.3025       1.3887       2.2443       2.2694       2.3684       2.2094     122.4679
       6      21.4580       0.8975     109.4125       1.3243       2.3571       2.3838       2.4755       2.3218     131.1118
       7      21.4927       0.9697      81.4453       1.3329       2.3766       2.4075       2.4860       2.3500     133.1187
       8      21.4414       0.9480      64.2001       1.2238       2.3521       2.3895       2.4458       2.3285     139.6479
       9      21.3772       1.0757      52.3463       1.2074       2.2973       2.3229       2.4087       2.2671     134.9171
      10      21.3647       1.0781      60.1605       1.2626       2.1664       2.1919       2.2752       2.1359     140.6632
      11      21.4280       1.0392      84.9948       1.2015       2.1457       2.1682       2.2584       2.1159     159.2777
      12      21.4400       1.1514      80.0034       1.2709       2.2209       2.2469       2.3488       2.1924     136.4648
      13      21.4948       1.0774      37.2065       1.2225       2.1684       2.1882       2.3037       2.1253     146.1096
      14      21.4762       1.0875     153.4671       1.3003       2.1541       2.1822       2.2696       2.1235     139.7969
      15      21.4482       1.1432     165.0663       1.2813       2.1722       2.1971       2.3118       2.1403     140.4858
      16      21.3729       1.1482      70.9951       1.2156       2.2415       2.2569       2.3678       2.1997     140.6415
      17      21.3609       1.1431     187.8422       1.3199       2.1953       2.2159       2.3235       2.1504     142.8158
      18      21.4207       1.2220     146.6949       1.2550       2.0933       2.1023       2.2132       2.0499     155.8803
      19      21.3638       1.1898     253.6734       1.2171       2.1151       2.1371       2.2501       2.0765     147.1216
      20      21.5146       1.2376     218.1396       1.4162       2.1827       2.2128       2.2918       2.1566     149.5484
      21      21.3683       1.2327      72.6696       1.1408       2.0890       2.1040       2.2163       2.0483     159.6195
      22      21.4563       1.2452     110.4074       1.1919       2.0660       2.0913       2.2126       2.0261     152.2166
      23      21.3488       1.1983     120.5266       1.1540       2.0610       2.0923       2.1872       2.0376     158.1652
      24      21.4073       1.3244      85.9645       1.1950       2.1310       2.1653       2.2505       2.1094     134.4919
      25      21.3625       1.2153      25.6885       1.1529       2.0882       2.1179       2.2058       2.0617     155.5291
      26      21.3789       1.2167      29.8604       1.2068       1.9881       2.0156       2.1111       1.9600     141.1198
      27      21.3503       1.3067     104.2711       1.2839       1.8852       1.9155       2.0052       1.8660     134.9200
      28      21.4010       1.3256      71.9654       1.1324       1.9576       1.9724       2.0743       1.9258     143.4716
      29      21.3915       1.3742      19.0845       1.3060       1.9105       1.9371       2.0323       1.8801     139.6185
      30      21.4107       1.5211      36.4748       1.3479       1.9230       1.9524       2.0624       1.8944     140.4846
      31      21.5000       1.5956     159.2197       1.3138       1.9823       2.0110       2.1028       1.9520     142.0984
      32      21.5845       1.5883      85.6901       1.3889       2.1338       2.1571       2.2621       2.1011     146.0956
      33      21.5496       1.6391      10.8226       1.4500       2.0691       2.1032       2.1798       2.0455     144.0151
      34      21.4951       1.6029      35.9723       1.3433       1.9136       1.9406       2.0341       1.8885     130.9584
